director_id,title,director,category,type,duration
d5570,LeapFrog: Letter Factory,Roy Allen Smith,Children & Family Movies,Movie,37 min
d5571,Tunisian Victory,Roy Boulting,"Classic Movies, Documentaries",Movie,76 min
d5572,Puss in Book: Trapped in an Epic Tale,Roy Burdine,"Children & Family Movies, Comedies",Movie,24 min
d5573,Quiet Victory: The Charlie Wedemeyer Story,Roy Campanella II,"Dramas, Sports Movies",Movie,93 min
d5574,First Kiss,Roy Poortmans,"Dramas, International Movies, Romantic Movies",Movie,90 min
d5575,Plastic Cup Boyz: Laughing My Mask Off!,Royale Watkins,"Stand-Up Comedy & Talk Shows, TV Comedies",TV Show,1 Season
d5576,Zombieland,Ruben Fleischer,"Comedies, Horror Movies",Movie,88 min
d5577,30 Minutes or Less,Ruben Fleischer,"Action & Adventure, Comedies",Movie,83 min
d5578,For Here or to Go?,Rucha Humnabadkar,"Comedies, Dramas, Independent Movies",Movie,105 min
d5579,Guilty,Ruchi Narain,"Dramas, International Movies",Movie,120 min
d5580,Afonso Padilha: Classless,Rudge Campos,Stand-Up Comedy,Movie,63 min
d5581,The Human Factor: The Untold Story of the Bombay Film Orchestras,Rudradeep Bhattacharjee,"Documentaries, International Movies, Music & Musicals",Movie,53 min
d5582,What's Up With Love?,Rudy Soedjarwo,"Dramas, International Movies, Romantic Movies",Movie,110 min
d5583,Garuda in My Heart 2,Rudy Soedjarwo,"Children & Family Movies, Dramas, Sports Movies",Movie,95 min
d5584,No Other Woman,Ruel S. Bayani,"Dramas, International Movies, Romantic Movies",Movie,103 min
d5585,One More Try,Ruel S. Bayani,"Dramas, International Movies, Romantic Movies",Movie,102 min
d5586,Kaleidoscope,Rupert Jones,Thrillers,Movie,99 min
d5587,The River Runner,Rush Sturges,"Documentaries, Sports Movies",Movie,86 min
d5588,NOVA: Black Hole Apocalypse,Rushmore DeNooyer,Documentaries,Movie,113 min
d5589,The Water Diviner,Russell Crowe,"Dramas, International Movies",Movie,111 min
d5590,Tales From the Hood 2,Rusty Cundieff,"Cult Movies, Horror Movies, Independent Movies",Movie,110 min
d5591,Movie 43,Rusty Cundieff,Comedies,Movie,94 min
d5592,A.M.I.,Rusty Nixon,Horror Movies,Movie,77 min
d5593,Before I Fall,Ry Russo-Young,"Dramas, Romantic Movies",Movie,98 min
d5594,Fruitvale Station,Ryan Coogler,"Dramas, Independent Movies",Movie,85 min
d5595,Black Panther,Ryan Coogler,"Action & Adventure, Sci-Fi & Fantasy",Movie,135 min
d5596,Arlo the Alligator Boy,Ryan Crego,"Children & Family Movies, Comedies, Music & Musicals",Movie,93 min
d5597,Mississippi Grind,Ryan Fleck,"Dramas, Independent Movies",Movie,109 min
d5598,Amateur,Ryan Koo,"Dramas, Independent Movies, Sports Movies",Movie,96 min
d5599,The Heyday of the Insensitive Bastards,Ryan Moody,"Dramas, Independent Movies",Movie,96 min
d5600,Eat Pray Love,Ryan Murphy,"Dramas, Romantic Movies",Movie,140 min
d5601,The Prom,Ryan Murphy,"Comedies, LGBTQ Movies, Music & Musicals",Movie,132 min
d5602,Bert Kreischer: The Machine,Ryan Polito,Stand-Up Comedy,Movie,70 min
d5603,Tracy Morgan: Staying Alive,Ryan Polito,Stand-Up Comedy,Movie,59 min
d5604,Deon Cole: Cole Hearted,Ryan Polito,Stand-Up Comedy,Movie,70 min
d5605,Jim Jefferies: Freedumb,Ryan Polito,Stand-Up Comedy,Movie,87 min
d5606,Nate Bargatze: The Tennessee Kid,Ryan Polito,Stand-Up Comedy,Movie,61 min
d5607,Middleditch & Schwartz,Ryan Polito,TV Comedies,TV Show,1 Season
d5608,Seth Rogen's Hilarity for Charity,Ryan Polito,Stand-Up Comedy,Movie,70 min
d5609,John Mulaney: New in Town,Ryan Polito,Stand-Up Comedy,Movie,60 min
